2019/5/8 上午 11:31:03	0.460000	1.336307	0.609806	0.658152	0.957599	0.526599	0.531861	3.456440	3.098289	3.658044	2.930560	0.251817	1.365742	1.787039	1.461696	57.950000
2019/5/8 上午 11:31:04	0.460493	1.336142	0.610464	0.658316	0.957599	0.526599	0.531532	3.455782	3.098125	3.657551	2.930231	0.252310	1.366564	1.786710	1.461696	57.950000
2019/5/8 上午 11:31:05	0.460658	1.336800	0.610464	0.658480	0.956941	0.527092	0.531532	3.455125	3.097467	3.657386	2.931218	0.251982	1.367222	1.787204	1.461696	57.950000
2019/5/8 上午 11:31:06	0.460493	1.336307	0.611121	0.658152	0.956777	0.527092	0.531696	3.454467	3.097467	3.657057	2.930724	0.252310	1.367715	1.787039	1.461696	57.950000
2019/5/8 上午 11:31:07	0.461151	1.336964	0.612108	0.658152	0.957434	0.526270	0.531367	3.453974	3.094014	3.657057	2.930560	0.251488	1.368537	1.786382	1.461696	57.950000
2019/5/8 上午 11:31:08	0.462138	1.338444	0.612272	0.657823	0.962039	0.524132	0.533670	3.451507	3.098947	3.655413	2.930889	0.253297	1.367222	1.787039	1.461696	57.950000
2019/5/8 上午 11:31:09	0.462466	1.336636	0.611286	0.658316	0.954146	0.528901	0.530710	3.454960	3.096809	3.656893	2.927600	0.254119	1.366235	1.787533	1.461696	57.950000
2019/5/8 上午 11:31:10	0.460986	1.337622	0.611121	0.657658	0.955297	0.528407	0.530545	3.453480	3.097796	3.657386	2.930066	0.252639	1.367386	1.787204	1.461696	57.950000
2019/5/8 上午 11:31:11	0.461151	1.337622	0.611450	0.657329	0.955626	0.526763	0.530874	3.453809	3.098125	3.657551	2.930395	0.252146	1.367057	1.787039	1.388902	57.920000
2019/5/8 上午 11:31:12	0.460000	1.337951	0.610464	0.657165	0.954803	0.527256	0.530381	3.454467	3.098125	3.657222	2.931218	0.252310	1.367386	1.786382	1.388902	57.920000
2019/5/8 上午 11:31:13	0.460329	1.337458	0.610957	0.657165	0.954968	0.527256	0.531203	3.453645	3.097631	3.658044	2.930889	0.251324	1.366235	1.787204	1.388902	57.920000
2019/5/8 上午 11:31:14	0.460000	1.339267	0.607997	0.658152	0.951843	0.527585	0.529230	3.455125	3.097960	3.658866	2.932369	0.252475	1.365742	1.787039	1.388902	57.920000
2019/5/8 上午 11:31:15	0.461809	1.338116	0.609970	0.656836	0.954639	0.526927	0.530052	3.455289	3.098453	3.659195	2.932369	0.252146	1.364919	1.786217	1.388902	57.920000
2019/5/8 上午 11:31:16	0.460986	1.338116	0.609312	0.656343	0.952995	0.526599	0.530216	3.455618	3.098125	3.659524	2.931546	0.252146	1.364262	1.786217	1.388902	57.920000
2019/5/8 上午 11:31:17	0.460493	1.337458	0.608819	0.656836	0.953159	0.526434	0.529723	3.456111	3.098618	3.659853	2.932204	0.251817	1.363933	1.786875	1.388902	57.920000
2019/5/8 上午 11:31:18	0.460493	1.338116	0.608655	0.656343	0.952830	0.525776	0.529558	3.456440	3.098618	3.660511	2.932040	0.251982	1.363275	1.786382	1.388902	57.920000
2019/5/8 上午 11:31:19	0.460000	1.338280	0.607997	0.656014	0.952666	0.525776	0.529558	3.457262	3.099111	3.660346	2.932533	0.251653	1.362782	1.786382	1.388902	57.920000
2019/5/8 上午 11:31:20	0.460329	1.338444	0.607668	0.655685	0.952501	0.525612	0.529558	3.457591	3.098782	3.661168	2.932533	0.251653	1.361795	1.786710	1.388902	57.920000
2019/5/8 上午 11:31:21	0.460329	1.338116	0.607339	0.655849	0.952172	0.525447	0.529230	3.458249	3.098947	3.661662	2.932697	0.251488	1.361466	1.786217	1.388902	57.920000
2019/5/8 上午 11:31:22	0.459342	1.338444	0.606681	0.655520	0.951350	0.525283	0.529065	3.458578	3.098782	3.661497	2.933355	0.251488	1.361137	1.786217	1.388902	57.910000
2019/5/8 上午 11:31:23	0.459835	1.338773	0.606188	0.655192	0.950857	0.524954	0.529230	3.458907	3.099111	3.662155	2.933520	0.251653	1.360480	1.786546	1.388902	57.910000
2019/5/8 上午 11:31:24	0.460164	1.338116	0.604050	0.656178	0.950528	0.523639	0.528079	3.458742	3.103387	3.660017	2.935164	0.250173	1.359822	1.786710	1.388902	57.910000
2019/5/8 上午 11:31:25	0.464440	1.335156	0.607339	0.653712	0.952501	0.522488	0.528243	3.461373	3.099440	3.662155	2.934177	0.250830	1.359493	1.789341	1.388902	57.910000
2019/5/8 上午 11:31:26	0.459342	1.338444	0.605037	0.654698	0.950528	0.524461	0.528736	3.460222	3.099605	3.663471	2.934013	0.251324	1.358506	1.786053	1.388902	57.910000
2019/5/8 上午 11:31:27	0.458520	1.338609	0.604708	0.654534	0.949870	0.523967	0.528736	3.461373	3.099769	3.663142	2.934671	0.251159	1.358342	1.786382	1.388902	57.910000
2019/5/8 上午 11:31:28	0.460493	1.338280	0.601419	0.656178	0.949377	0.526105	0.527914	3.460716	3.101578	3.661826	2.935493	0.250337	1.357355	1.786875	1.388902	57.910000
2019/5/8 上午 11:31:29	0.457369	1.339431	0.604873	0.654698	0.950528	0.521172	0.529230	3.466636	3.099933	3.666266	2.933684	0.249515	1.357191	1.785395	1.388902	57.910000
2019/5/8 上午 11:31:30	0.457862	1.338280	0.605530	0.654534	0.950364	0.522981	0.528243	3.461538	3.106182	3.661991	2.935822	0.248857	1.356697	1.786710	1.388902	57.910000
2019/5/8 上午 11:31:31	0.457533	1.339102	0.603557	0.654205	0.949377	0.523145	0.528243	3.462853	3.100591	3.665115	2.935657	0.250502	1.356533	1.786382	1.388902	57.910000
2019/5/8 上午 11:31:32	0.458027	1.339760	0.603393	0.654041	0.949212	0.523145	0.528407	3.463018	3.100427	3.665444	2.935493	0.250337	1.355546	1.786217	1.388902	57.910000
2019/5/8 上午 11:31:33	0.457533	1.339596	0.603393	0.654041	0.948390	0.522652	0.528079	3.463182	3.100756	3.665279	2.936644	0.250337	1.355053	1.786875	1.388902	57.910000
